County,Office,DemVotes,Total_Dem_Votes,Total_Dem_Percent,RepVotes,Total_Rep_Votes,Total_Rep_Percent,population,DemVotes2016,Total_Dem_Votes2016,Total_Dem_Percent2016,RepVotes2016,Total_Rep_Votes2016,Total_Rep_Percent2016,population2016,GreenVotes,Total_Votes_Green,LibVotes,Total_Lib_Votes,Total_TP_ExLibGreen,TV_EXLIBGREEN,TV_THIRDPARTY,TP_TV2016_EXLIBGREEN,GreenVotes16,Total_Votes_Green16,LibVotes16,Total_Votes_Lib16,White_Total,White_VA,Hispanic_Total,Hispanic_VA,Black_Total,Black_VA,Asian_Total,Asian_VA,AI_Total,AI_VA,population2017,population2018,population2016,population2019,percentbornNOTCO,percentbornCO,percentbornforeign,MHI_STATE,MHI,CountyDiffMHI,StateHSONLY,StateBAONLY,StateGRAD,StateHSPLUS,StateBAPLUS,CountyHSONLY,CountyBAONLY,CountyGRAD,CountyHSPLUS,CountyBAPLUS
EL PASO,President,161941,1804352,0.554,202828,1364607,0.419,722493,108010,1338870,0.4816,179228,1202484,0.4325,689481,1135,8986,9264,52460,3683,26575,88021,7760,4093,38437,19877,144121,0.706936066,0.733538399,0.174116326,0.151333067,0.073328977,0.068645184,0.037927611,0.038742683,0.007691019,0.007740669,701363,714386,689481,722493,0.579742594,0.317707096,0.069813756,72331,68779,-3552,0.214,0.256,0.153,0.917,0.409,0.204,0.236,0.15,0.942,0.385
FREMONT,President,7369,1804352,0.554,17517,1364607,0.419,47645,5297,1338870,0.4816,15122,1202484,0.4325,46995,59,8986,397,52460,215,26575,88021,421,243,38437,890,144121,0.796183996,0.794740265,0.136755596,0.133018411,0.040763201,0.045884672,0.010229268,0.009687128,0.016067939,0.016669523,47590,47889,46995,47645,0.523594176,0.438367744,0.026690053,72331,49409,-22922,0.214,0.256,0.153,0.917,0.409,0.393,0.111,0.074,0.901,0.185
GARFIELD,President,15427,1804352,0.554,14717,1364607,0.419,60168,11271,1338870,0.4816,13132,1202484,0.4325,58930,99,8986,424,52460,237,26575,88021,464,468,38437,1135,144121,0.689999401,0.737402055,0.285812686,0.239800627,0.008506865,0.007234895,0.009520102,0.009069737,0.006160947,0.006492687,59145,59827,58930,60168,0.415595631,0.425755652,0.147523495,72331,75937,3606,0.214,0.256,0.153,0.917,0.409,0.27,0.207,0.103,0.881,0.31
GILPIN,President,2223,1804352,0.554,1833,1364607,0.419,6215,1634,1338870,0.4816,1566,1202484,0.4325,5906,17,8986,70,52460,43,26575,88021,61,122,38437,193,144121,0.881404052,0.89092053,0.075638792,0.068145177,0.016018196,0.014588494,0.017405472,0.016456294,0.009533488,0.009889505,6008,6104,5906,6215,0.680126288,0.26404121,0.045862413,72331,76429,4098,0.214,0.256,0.153,0.917,0.409,0.214,0.261,0.135,0.985,0.396
GRAND,President,4710,1804352,0.554,4883,1364607,0.419,15718,3358,1338870,0.4816,4494,1202484,0.4325,15179,31,8986,174,52460,72,26575,88021,121,128,38437,487,144121,0.878441347,0.899956021,0.093339453,0.072148837,0.01167779,0.010397851,0.009918472,0.011230308,0.006622939,0.006266983,15363,15501,15179,15718,0.532640659,0.400705744,0.054303078,72331,71198,-1133,0.214,0.256,0.153,0.917,0.409,0.268,0.269,0.111,0.946,0.38
GUNNISON,President,7132,1804352,0.554,3735,1364607,0.419,17495,5128,1338870,0.4816,3289,1202484,0.4325,16449,39,8986,210,52460,74,26575,88021,151,249,38437,595,144121,0.881134473,0.896852168,0.095172985,0.078800773,0.008266291,0.00832097,0.00777837,0.008125017,0.00764788,0.007901072,16891,17188,16449,17495,0.544101893,0.393048447,0.037912153,72331,56577,-15754,0.214,0.256,0.153,0.917,0.409,0.159,0.38,0.182,0.974,0.562
HINSDALE,President,255,1804352,0.554,353,1364607,0.419,819,197,1338870,0.4816,339,1202484,0.4325,786,1,8986,10,52460,13,26575,88021,15,11,38437,27,144121,0.907002732,0.914028507,0.053265458,0.050412603,0.017755153,0.010502626,0.008567172,0.010352588,0.013409486,0.014703676,792,806,786,819,0.745624271,0.236872812,0.014002334,72331,56339,-15992,0.214,0.256,0.153,0.917,0.409,0.228,0.31,0.147,0.937,0.457
HUERFANO,President,2076,1804352,0.554,2203,1364607,0.419,6854,1633,1338870,0.4816,1883,1202484,0.4325,6568,12,8986,71,52460,44,26575,88021,68,48,38437,151,144121,0.623580621,0.655335403,0.34194666,0.311909164,0.012606999,0.010569645,0.008734642,0.00936617,0.013131078,0.012819618,6619,6864,6568,6854,0.41847582,0.555921545,0.023207067,72331,38137,-34194,0.214,0.256,0.153,0.917,0.409,0.296,0.148,0.064,0.924,0.211
JACKSON,President,175,1804352,0.554,681,1364607,0.419,1383,171,1338870,0.4816,629,1202484,0.4325,1357,2,8986,12,52460,6,26575,88021,13,7,38437,41,144121,0.863854197,0.88423712,0.114652919,0.092574213,0.002468777,0.003067761,0.008277665,0.006767121,0.010746442,0.013353785,1376,1393,1357,1383,0.501189532,0.441712926,0.057097542,72331,53300,-19031,0.214,0.256,0.153,0.917,0.409,0.281,0.172,0.028,0.874,0.2
JEFFERSON,President,218396,1804352,0.554,148417,1364607,0.419,583081,160776,1338870,0.4816,138177,1202484,0.4325,571648,1089,8986,6394,52460,3062,26575,88021,6814,4579,38437,18537,144121,0.791460574,0.81177545,0.154314048,0.136531347,0.014581126,0.012908707,0.03346223,0.032805807,0.006182022,0.005978688,575722,579641,571648,583081,0.4641822,0.460027697,0.06402945,72331,82986,10655,0.214,0.256,0.153,0.917,0.409,0.203,0.287,0.164,0.945,0.452
